Rattata, SEU Dorm, 130, 2016-07-24 01:14:22.865000
Pidgey, SEU Dorm, 118, 2016-07-24 01:14:22.900000
Pidgey, SEU Dorm, 40, 2016-07-24 01:14:22.937000
Pidgey, SEU Dorm, 88, 2016-07-24 01:14:22.968000
Eevee, SEU Dorm, 12, 2016-07-24 01:14:23.004000
Rattata, SEU Dorm, 65, 2016-07-24 01:14:23.055000
Weedle, SEU Dorm, 208, 2016-07-24 01:14:23.086000
Venonat, SEU Dorm, 238, 2016-07-24 01:14:23.134000
Pidgey, SEU Dorm, 78, 2016-07-24 01:14:23.226000
Pidgey, SEU Dorm, 332, 2016-07-24 01:14:23.259000
Pidgey, SEU Pika Lot, 341, 2016-07-24 01:14:38.935000
Pidgey, SEU Pika Lot, 340, 2016-07-24 01:14:38.965000
Rattata, SEU Pika Lot, 335, 2016-07-24 01:14:39.036000
Rattata, SEU Pika Lot, 285, 2016-07-24 01:14:39.071000
Weedle, SEU Pika Lot, 160, 2016-07-24 01:14:39.101000
Venonat, SEU Pika Lot, 149, 2016-07-24 01:14:39.131000
Pidgey, SEU Pika Lot, 346, 2016-07-24 01:14:39.222000
Pidgey, SEU Pika Lot, 30, 2016-07-24 01:14:39.252000
Rattata, Casino, 186, 2016-07-24 01:14:47.926000
Pidgey, Casino, 201, 2016-07-24 01:14:47.956000
Rattata, Casino, 101, 2016-07-24 01:14:47.986000
Bulbasaur, Casino, 86, 2016-07-24 01:14:48.017000
Zubat, Casino, 66, 2016-07-24 01:14:48.048000
Pidgey, Travel Plaza Lot, 161, 2016-07-24 01:14:55.404000
Weedle, Travel Plaza Lot, 178, 2016-07-24 01:14:55.434000
Rattata, Travel Plaza Lot, 153, 2016-07-24 01:14:55.465000
Pidgey, Travel Plaza Lot, 141, 2016-07-24 01:14:55.495000
Rattata, Travel Plaza Lot, 49, 2016-07-24 01:14:55.536000
Rattata, Travel Plaza Lot, 98, 2016-07-24 01:14:55.567000
Pidgey, Travel Plaza Lot, 105, 2016-07-24 01:14:55.600000
Pidgey, Travel Plaza Lot, 113, 2016-07-24 01:14:55.632000
Poliwag, Travel Plaza Lot, 109, 2016-07-24 01:14:55.662000
Rattata, Travel Plaza Lot, 47, 2016-07-24 01:14:55.692000
Venonat, Travel Plaza Lot, 54, 2016-07-24 01:14:55.725000
Pidgey, Travel Plaza Lot, 114, 2016-07-24 01:14:55.755000
Oddish, 1ST and Main, 244, 2016-07-24 01:15:03.428000
Nidoran(F), Casino, 217, 2016-07-24 01:18:18.808000
Doduo, Casino, 142, 2016-07-24 01:18:18.840000
Weedle, Casino, 147, 2016-07-24 01:18:18.869000
Pidgey, Travel Plaza Lot, 157, 2016-07-24 01:18:27.468000
Rattata, Travel Plaza Lot, 97, 2016-07-24 01:18:27.567000
Exeggcute, Travel Plaza Lot, 122, 2016-07-24 01:18:27.721000
Rattata, 1ST and Main, 203, 2016-07-24 01:18:35.630000
Rattata, SEU Dorm, 161, 2016-07-24 01:21:21.662000
Pidgey, SEU Dorm, 150, 2016-07-24 01:21:21.696000
Sandshrew, SEU Dorm, 171, 2016-07-24 01:21:21.726000
Rattata, SEU Dorm, 33, 2016-07-24 01:21:21.770000
Pidgey, SEU Dorm, 257, 2016-07-24 01:21:21.801000
Bulbasaur, SEU Dorm, 212, 2016-07-24 01:21:21.832000
Pidgey, SEU Pika Lot, 334, 2016-07-24 01:21:30.803000
Bulbasaur, SEU Pika Lot, 180, 2016-07-24 01:21:30.834000
Pidgey, Casino, 241, 2016-07-24 01:21:49.966000
Eevee, Casino, 180, 2016-07-24 01:21:50.002000
Weedle, Casino, 80, 2016-07-24 01:21:50.033000
Venonat, Travel Plaza Lot, 85, 2016-07-24 01:22:04.276000
Dodrio, Travel Plaza Lot, 86, 2016-07-24 01:22:04.389000
Rattata, Travel Plaza Lot, 96, 2016-07-24 01:22:04.459000
Paras, 1ST and Main, 143, 2016-07-24 01:22:12.478000
Pidgeotto, 1ST and Main, 265, 2016-07-24 01:22:12.510000
Weedle, Casino, 44, 2016-07-24 01:25:42.701000
Venonat, Casino, 222, 2016-07-24 01:25:42.812000
Zubat, Casino, 162, 2016-07-24 01:25:42.844000
Venonat, Casino, 211, 2016-07-24 01:25:42.874000
Pidgey, Casino, 283, 2016-07-24 01:25:42.903000
Oddish, Casino, 193, 2016-07-24 01:25:42.932000
Rattata, Casino, 213, 2016-07-24 01:25:42.963000
Pidgey, Casino, 155, 2016-07-24 01:25:42.992000
Pidgey, Travel Plaza Lot, 52, 2016-07-24 01:25:50.572000
Paras, Travel Plaza Lot, 56, 2016-07-24 01:25:50.604000
Rattata, Travel Plaza Lot, 109, 2016-07-24 01:25:50.749000
Rattata, 1ST and Main, 133, 2016-07-24 01:25:59.473000
Eevee, 1ST and Main, 71, 2016-07-24 01:25:59.504000
Weedle, SEU Dorm, 119, 2016-07-24 01:28:51.026000
Pidgeotto, Travel Plaza Lot, 182, 2016-07-24 01:29:27.779000
Pidgey, Travel Plaza Lot, 121, 2016-07-24 01:29:27.809000
Rattata, Travel Plaza Lot, 134, 2016-07-24 01:29:27.843000
Rattata, Travel Plaza Lot, 71, 2016-07-24 01:29:27.902000
Poliwag, Travel Plaza Lot, 73, 2016-07-24 01:29:28.011000
Venonat, Travel Plaza Lot, 62, 2016-07-24 01:29:28.107000
Exeggcute, Travel Plaza Lot, 60, 2016-07-24 01:29:28.169000
Exeggcute, 1ST and Main, 76, 2016-07-24 01:29:35.488000
Weedle, Wichita Falls, 90, 2016-07-24 01:29:43.187000
Venonat, Wichita Falls, 73, 2016-07-24 01:29:43.228000
Rattata, Wichita Falls, 82, 2016-07-24 01:29:43.261000
Rattata, Wichita Falls, 74, 2016-07-24 01:29:43.292000
Ekans, Casino, 250, 2016-07-24 01:33:13.246000
Zubat, Casino, 215, 2016-07-24 01:33:13.278000
Weedle, Casino, 207, 2016-07-24 01:33:13.311000
Eevee, Casino, 204, 2016-07-24 01:33:13.345000
Zubat, Casino, 274, 2016-07-24 01:33:13.382000
Pidgeotto, Casino, 258, 2016-07-24 01:33:13.429000
Zubat, Casino, 303, 2016-07-24 01:33:13.463000
Rattata, Casino, 151, 2016-07-24 01:33:13.497000
Doduo, Casino, 324, 2016-07-24 01:33:13.785000
Bellsprout, Travel Plaza Lot, 164, 2016-07-24 01:33:22.072000
Pidgey, Travel Plaza Lot, 178, 2016-07-24 01:33:22.192000
Rattata, Travel Plaza Lot, 124, 2016-07-24 01:33:22.424000
Eevee, Travel Plaza Lot, 57, 2016-07-24 01:33:22.486000
Oddish, 1ST and Main, 147, 2016-07-24 01:33:30.560000
Staryu, SEU Dorm, 43, 2016-07-24 01:36:41.105000
Venonat, SEU Pika Lot, 279, 2016-07-24 01:36:48.911000
Weedle, SEU Pika Lot, 29, 2016-07-24 01:36:48.972000
Zubat, Casino, 138, 2016-07-24 01:36:56.971000
Eevee, Casino, 189, 2016-07-24 01:36:57.087000
Raticate, Travel Plaza Lot, 174, 2016-07-24 01:37:06.073000
Pidgey, Travel Plaza Lot, 169, 2016-07-24 01:37:06.102000
Raticate, Travel Plaza Lot, 173, 2016-07-24 01:37:06.237000
Caterpie, 1ST and Main, 45, 2016-07-24 01:37:15.035000
Paras, 1ST and Main, 171, 2016-07-24 01:37:15.115000
Rattata, Wichita Falls, 99, 2016-07-24 01:37:22.284000
Venonat, Wichita Falls, 101, 2016-07-24 01:37:22.343000
Paras, SEU Dorm, 142, 2016-07-24 01:40:07.626000
Venonat, SEU Dorm, 156, 2016-07-24 01:40:07.706000
Pidgey, Travel Plaza Lot, 130, 2016-07-24 01:40:32.935000
Spearow, Travel Plaza Lot, 82, 2016-07-24 01:40:33.071000
Pidgey, Travel Plaza Lot, 99, 2016-07-24 01:40:33.165000
Venonat, 1ST and Main, 107, 2016-07-24 01:40:46.736000
Rattata, Wichita Falls, 83, 2016-07-24 01:41:00.738000
Pidgey, Wichita Falls, 95, 2016-07-24 01:41:00.774000
Pidgeotto, SEU Dorm, 264, 2016-07-24 01:43:37.470000
Pinsir, SEU Dorm, 228, 2016-07-24 01:43:37.501000
Rattata, SEU Dorm, 28, 2016-07-24 01:43:37.637000
Weedle, SEU Dorm, 120, 2016-07-24 01:43:37.700000
Rattata, Travel Plaza Lot, 115, 2016-07-24 01:44:10.702000
Tangela, Travel Plaza Lot, 80, 2016-07-24 01:44:10.744000
Rattata, Travel Plaza Lot, 68, 2016-07-24 01:44:10.807000
Venonat, 1ST and Main, 235, 2016-07-24 01:44:17.824000
Rattata, 1ST and Main, 304, 2016-07-24 01:44:18.141000
Poliwag, SEU Dorm, 301, 2016-07-24 01:47:05.207000
Caterpie, SEU Dorm, 48, 2016-07-24 01:47:05.361000
Doduo, SEU Dorm, 112, 2016-07-24 01:47:05.623000
Paras, SEU Pika Lot, 288, 2016-07-24 01:47:13.554000
Eevee, Casino, 202, 2016-07-24 01:47:21.393000
Pidgey, Casino, 183, 2016-07-24 01:47:21.428000
Pidgey, Casino, 167, 2016-07-24 01:47:21.461000
Paras, 1ST and Main, 90, 2016-07-24 01:47:38.273000
Pidgey, 1ST and Main, 244, 2016-07-24 01:47:38.614000
Doduo, Wichita Falls, 146, 2016-07-24 01:47:46.446000
Venonat, Casino, 257, 2016-07-24 01:51:16.692000
Rattata, Casino, 217, 2016-07-24 01:51:16.723000
Rattata, Casino, 66, 2016-07-24 01:51:16.827000
Pidgey, Casino, 229, 2016-07-24 01:51:16.857000
Eevee, Casino, 217, 2016-07-24 01:51:16.888000
Rattata, Travel Plaza Lot, 173, 2016-07-24 01:51:24.817000
Vileplume, Travel Plaza Lot, 144, 2016-07-24 01:51:24.847000
Venonat, Travel Plaza Lot, 113, 2016-07-24 01:51:24.878000
Weedle, Travel Plaza Lot, 49, 2016-07-24 01:51:24.981000
Pidgey, Travel Plaza Lot, 287, 2016-07-24 01:51:25.254000
Eevee, Travel Plaza Lot, 302, 2016-07-24 01:51:25.284000
Pidgey, 1ST and Main, 120, 2016-07-24 01:51:33.972000
Paras, SEU Dorm, 60, 2016-07-24 01:54:53.784000
Exeggcute, SEU Dorm, 234, 2016-07-24 01:54:53.844000
Weedle, Travel Plaza Lot, 143, 2016-07-24 01:55:18.825000
Eevee, Travel Plaza Lot, 184, 2016-07-24 01:55:18.859000
Doduo, Travel Plaza Lot, 144, 2016-07-24 01:55:18.952000
Caterpie, Travel Plaza Lot, 77, 2016-07-24 01:55:19.056000
Rattata, Travel Plaza Lot, 80, 2016-07-24 01:55:19.086000
Exeggcute, Travel Plaza Lot, 114, 2016-07-24 01:55:19.117000
Pidgey, Travel Plaza Lot, 61, 2016-07-24 01:55:19.178000
Nidoran(M), Wichita Falls, 95, 2016-07-24 01:55:41.226000
Doduo, Wichita Falls, 101, 2016-07-24 01:55:41.263000
Eevee, SEU Dorm, 231, 2016-07-24 01:58:20.080000
Weedle, SEU Dorm, 225, 2016-07-24 01:58:20.219000
Pidgey, SEU Dorm, 103, 2016-07-24 01:58:20.253000
Venonat, SEU Dorm, 39, 2016-07-24 01:58:20.285000
Rattata, SEU Dorm, 100, 2016-07-24 01:58:20.322000
Golbat, Casino, 149, 2016-07-24 01:58:55.541000
Oddish, Travel Plaza Lot, 163, 2016-07-24 01:59:03.856000
Oddish, Travel Plaza Lot, 90, 2016-07-24 01:59:04.081000
Pidgey, Travel Plaza Lot, 39, 2016-07-24 01:59:04.269000
Abra, Travel Plaza Lot, 44, 2016-07-24 01:59:04.329000
