Bellsprout, SEU Dorm, 285, 2016-07-25 23:23:19.416000
Rattata, SEU Dorm, 150, 2016-07-25 23:23:19.443000
Exeggcute, SEU Dorm, 171, 2016-07-25 23:23:19.471000
Pidgey, SEU Dorm, 33, 2016-07-25 23:23:19.527000
Pidgey, SEU Dorm, 238, 2016-07-25 23:23:19.556000
Caterpie, Casino, 180, 2016-07-25 23:23:43.270000
Rattata, Casino, 44, 2016-07-25 23:23:43.299000
Pidgey, Casino, 80, 2016-07-25 23:23:43.327000
Rattata, Casino, 66, 2016-07-25 23:23:43.356000
Rattata, Casino, 59, 2016-07-25 23:23:43.386000
Rattata, Casino, 201, 2016-07-25 23:23:43.416000
Weedle, Loves, 157, 2016-07-25 23:23:51.443000
Pidgey, Loves, 83, 2016-07-25 23:23:51.472000
Squirtle, Loves, 49, 2016-07-25 23:23:51.502000
Oddish, Loves, 48, 2016-07-25 23:23:51.530000
Pidgey, Loves, 145, 2016-07-25 23:23:51.587000
